,ff_train_acc,ff_test_acc,ff_train_time,ff_test_time,fb_train_acc,fb_test_acc,fb_train_time,fb_test_time
0,0.948699951171875,0.9493999481201172,106.95336151123047,2.4540562629699707,0.9914299845695496,0.9735999703407288,4.02064323425293,0.017793893814086914
1,0.9476799964904785,0.9479999542236328,106.81722259521484,1.9513782262802124,0.9912199974060059,0.9738999605178833,4.012678146362305,0.018570661544799805
2,0.9483799934387207,0.9493999481201172,106.86354064941406,2.4111809730529785,0.9905999898910522,0.9732999801635742,4.04079532623291,0.017637014389038086
3,0.9479999542236328,0.9494999647140503,107.06986236572266,1.963287591934204,0.9910099506378174,0.9713999629020691,4.0193657875061035,0.018249034881591797
4,0.9491999745368958,0.9509999752044678,107.0602035522461,2.3253793716430664,0.9905999898910522,0.9718999862670898,4.0391926765441895,0.017630815505981445
5,0.948479950428009,0.9472999572753906,106.90406036376953,1.9903573989868164,0.9906699657440186,0.9715999960899353,4.055216312408447,0.01778411865234375
6,0.9462199807167053,0.9472000002861023,107.00209045410156,1.9897093772888184,0.9915499687194824,0.9753999710083008,4.0284037590026855,0.017763376235961914
7,0.9473599791526794,0.9492999911308289,106.97863006591797,2.0160140991210938,0.9916399717330933,0.9721999764442444,4.020052433013916,0.012161731719970703
8,0.9483199715614319,0.9475999474525452,106.88439178466797,1.99229097366333,0.991569995880127,0.9741999506950378,4.04066276550293,0.01764655113220215
9,0.9459999799728394,0.9447000026702881,106.96460723876953,1.8963592052459717,0.9911999702453613,0.9722999930381775,4.013278484344482,0.017724037170410156
10,0.948479950428009,0.949999988079071,107.03155517578125,1.8420559167861938,0.9899799823760986,0.9718999862670898,4.0196309089660645,0.017526865005493164
