,ff_train_losses,ff_test_losses,fb_train_losses,fb_test_losses
0,0.61159348487854,0.4436647891998291,"[0.6109561324119568, 0.647122859954834]",3.4798367023468018
1,0.5104508996009827,0.524225115776062,"[0.6152427792549133, 0.6716475486755371]",3.1862072944641113
2,0.5470248460769653,0.52611243724823,"[0.6071972250938416, 0.6543057560920715]",3.7921738624572754
3,0.5132312774658203,0.49836549162864685,"[0.6086731553077698, 0.6708593964576721]",2.5421619415283203
4,0.5783459544181824,0.45415565371513367,"[0.6291556358337402, 0.6948153376579285]",2.7601804733276367
5,0.49984949827194214,0.49311020970344543,"[0.6132537722587585, 0.6550584435462952]",3.325086832046509
6,0.6118419170379639,0.4903721809387207,"[0.6120457649230957, 0.6466687321662903]",3.293678045272827
7,0.61055588722229,0.6359907388687134,"[0.6083184480667114, 0.6542271375656128]",3.3090484142303467
8,0.5821221470832825,0.4724927246570587,"[0.6190775036811829, 0.6709141135215759]",3.159583806991577
9,0.5715394020080566,0.5877667665481567,"[0.6164911389350891, 0.668838620185852]",3.117039442062378
